strategy,P,fid_mean,fid_std,fid_other_mean,fid_other_std,r_struct_mean,r_struct_std,r_mag_mean,r_mag_std
random,1,0.668,0.039,0.0,0.0,0.669,0.035,0.068,0.032
random,2,0.509,0.045,0.093,0.082,0.321,0.021,0.091,0.053
random,3,0.459,0.079,0.116,0.042,0.356,0.04,0.045,0.043
random,5,0.336,0.092,0.155,0.017,0.329,0.013,0.055,0.036
random,8,0.239,0.149,0.186,0.047,0.271,0.027,0.07,0.028
random,12,0.145,0.066,0.161,0.037,0.307,0.032,0.041,0.039
degree,1,0.939,0.027,0.0,0.0,0.938,0.029,0.032,0.02
degree,2,0.734,0.071,0.134,0.06,0.443,0.04,0.041,0.038
degree,3,0.589,0.062,0.107,0.029,0.469,0.027,0.027,0.009
degree,5,0.459,0.103,0.12,0.055,0.425,0.025,0.039,0.026
degree,8,0.38,0.105,0.18,0.049,0.362,0.007,0.05,0.042
degree,12,0.27,0.089,0.161,0.047,0.357,0.028,0.068,0.052
