q,T,P,m_cued_mean,m_cued_std,m_other_mean
2,1.544,1,0.777,0.023,0.0
2,1.544,2,0.689,0.023,0.064
2,1.544,3,0.591,0.058,0.057
2,1.544,5,0.455,0.098,0.057
2,1.544,8,0.371,0.059,0.159
2,1.544,12,0.269,0.07,0.121
4,1.61,1,0.818,0.012,0.0
4,1.61,2,0.798,0.016,0.028
4,1.61,3,0.747,0.066,0.063
4,1.61,5,0.702,0.041,0.068
4,1.61,8,0.593,0.072,0.124
4,1.61,12,0.477,0.054,0.124
8,1.38,1,0.825,0.014,0.0
8,1.38,2,0.801,0.019,0.043
8,1.38,4,0.79,0.027,0.045
8,1.38,8,0.76,0.038,0.056
8,1.38,16,0.66,0.049,0.082
8,1.38,24,0.552,0.048,0.091
