q,T,strategy,frac,fid_mean,fid_std
2,6.9,random,0.01,0.337,0.065
2,6.9,random,0.037,0.52,0.04
2,6.9,random,0.064,0.566,0.014
2,6.9,random,0.091,0.637,0.051
2,6.9,random,0.146,0.685,0.065
2,6.9,random,0.2,0.834,0.031
2,6.9,degree,0.01,0.632,0.03
2,6.9,degree,0.037,0.813,0.013
2,6.9,degree,0.064,0.865,0.029
2,6.9,degree,0.091,0.91,0.018
2,6.9,degree,0.146,0.956,0.015
2,6.9,degree,0.2,0.953,0.006
2,6.9,GAP,-1,0.258,0.0
4,3.45,random,0.01,0.352,0.053
4,3.45,random,0.037,0.494,0.056
4,3.45,random,0.064,0.57,0.026
4,3.45,random,0.091,0.577,0.052
4,3.45,random,0.146,0.659,0.054
4,3.45,random,0.2,0.786,0.039
4,3.45,degree,0.01,0.588,0.033
4,3.45,degree,0.037,0.753,0.011
4,3.45,degree,0.064,0.82,0.039
4,3.45,degree,0.091,0.856,0.007
4,3.45,degree,0.146,0.9,0.011
4,3.45,degree,0.2,0.932,0.008
4,3.45,GAP,-1,0.235,0.0
8,3.45,random,0.01,0.187,0.052
8,3.45,random,0.037,0.376,0.037
8,3.45,random,0.064,0.482,0.023
8,3.45,random,0.091,0.515,0.078
8,3.45,random,0.146,0.657,0.052
8,3.45,random,0.2,0.705,0.011
8,3.45,degree,0.01,0.503,0.037
8,3.45,degree,0.037,0.655,0.027
8,3.45,degree,0.064,0.758,0.017
8,3.45,degree,0.091,0.783,0.015
8,3.45,degree,0.146,0.838,0.014
8,3.45,degree,0.2,0.857,0.015
8,3.45,GAP,-1,0.245,0.0
16,3.45,random,0.01,0.296,0.018
16,3.45,random,0.037,0.376,0.014
16,3.45,random,0.064,0.505,0.033
16,3.45,random,0.091,0.511,0.066
16,3.45,random,0.146,0.637,0.032
16,3.45,random,0.2,0.677,0.009
16,3.45,degree,0.01,0.511,0.02
16,3.45,degree,0.037,0.651,0.033
16,3.45,degree,0.064,0.743,0.038
16,3.45,degree,0.091,0.786,0.035
16,3.45,degree,0.146,0.824,0.022
16,3.45,degree,0.2,0.836,0.009
16,3.45,GAP,-1,0.225,0.0
