q,m,k_mean,T,P,m_cued_mean,m_cued_std
4,3,5.9,1.84,2,0.778,0.025
4,3,5.9,1.84,4,0.707,0.065
4,3,5.9,1.84,6,0.652,0.075
4,3,5.9,1.84,8,0.538,0.087
4,3,5.9,1.84,12,0.47,0.039
4,3,5.9,1.84,16,0.442,0.087
4,3,5.9,1.84,-1,4.25,-1
4,6,11.6,3.68,4,0.874,0.013
4,6,11.6,3.68,8,0.763,0.016
4,6,11.6,3.68,12,0.707,0.018
4,6,11.6,3.68,16,0.598,0.043
4,6,11.6,3.68,24,0.518,0.019
4,6,11.6,3.68,32,0.437,0.053
4,6,11.6,3.68,-1,12.26,-1
4,12,22.5,7.36,8,0.884,0.023
4,12,22.5,7.36,16,0.755,0.042
4,12,22.5,7.36,24,0.601,0.068
4,12,22.5,7.36,32,0.568,0.063
4,12,22.5,7.36,48,0.49,0.101
4,12,22.5,7.36,64,0.407,0.077
4,12,22.5,7.36,-1,18.86,-1
4,24,42.1,12.88,16,0.864,0.033
4,24,42.1,12.88,32,0.715,0.037
4,24,42.1,12.88,48,0.611,0.016
4,24,42.1,12.88,64,0.487,0.016
4,24,42.1,12.88,96,0.371,0.006
4,24,42.1,12.88,128,0.326,0.006
4,24,42.1,12.88,-1,34.26,-1
8,3,5.9,1.495,4,0.779,0.024
8,3,5.9,1.495,8,0.738,0.03
8,3,5.9,1.495,12,0.701,0.005
8,3,5.9,1.495,16,0.641,0.048
8,3,5.9,1.495,24,0.53,0.045
8,3,5.9,1.495,32,0.45,0.065
8,3,5.9,1.495,-1,12.09,-1
8,6,11.6,2.99,8,0.896,0.005
8,6,11.6,2.99,16,0.823,0.021
8,6,11.6,2.99,24,0.803,0.026
8,6,11.6,2.99,32,0.701,0.019
8,6,11.6,2.99,48,0.582,0.031
8,6,11.6,2.99,64,0.485,0.046
8,6,11.6,2.99,-1,32.17,-1
8,12,22.5,5.98,16,0.926,0.017
8,12,22.5,5.98,32,0.84,0.016
8,12,22.5,5.98,48,0.755,0.043
8,12,22.5,5.98,64,0.649,0.023
8,12,22.5,5.98,96,0.526,0.038
8,12,22.5,5.98,128,0.431,0.025
8,12,22.5,5.98,-1,56.36,-1
8,24,42.1,10.12,32,0.985,0.011
8,24,42.1,10.12,64,0.883,0.038
8,24,42.1,10.12,96,0.734,0.046
8,24,42.1,10.12,128,0.649,0.032
8,24,42.1,10.12,192,0.515,0.046
8,24,42.1,10.12,256,0.442,0.018
8,24,42.1,10.12,-1,108.8,-1
