q,N,T,P,m_cued_mean,m_cued_std
4,196,1.84,2,0.778,0.025
4,196,1.84,4,0.707,0.065
4,196,1.84,6,0.652,0.075
4,196,1.84,8,0.538,0.087
4,196,1.84,12,0.47,0.039
4,196,1.84,16,0.442,0.087
4,196,1.84,-1,4.25,-1
4,400,1.84,2,0.736,0.017
4,400,1.84,4,0.684,0.026
4,400,1.84,6,0.59,0.028
4,400,1.84,8,0.527,0.027
4,400,1.84,12,0.437,0.016
4,400,1.84,16,0.41,0.012
4,400,1.84,-1,3.38,-1
4,800,1.84,2,0.762,0.017
4,800,1.84,4,0.664,0.022
4,800,1.84,6,0.609,0.011
4,800,1.84,8,0.568,0.016
4,800,1.84,12,0.487,0.019
4,800,1.84,16,0.421,0.025
4,800,1.84,-1,3.26,-1
8,196,1.495,4,0.779,0.024
8,196,1.495,8,0.738,0.03
8,196,1.495,12,0.701,0.005
8,196,1.495,16,0.641,0.048
8,196,1.495,24,0.53,0.045
8,196,1.495,32,0.45,0.065
8,196,1.495,-1,12.09,-1
8,400,1.495,4,0.746,0.009
8,400,1.495,8,0.683,0.018
8,400,1.495,12,0.644,0.008
8,400,1.495,16,0.613,0.029
8,400,1.495,24,0.535,0.027
8,400,1.495,32,0.459,0.049
8,400,1.495,-1,6.9,-1
8,800,1.495,4,0.768,0.023
8,800,1.495,8,0.716,0.018
8,800,1.495,12,0.669,0.016
8,800,1.495,16,0.598,0.011
8,800,1.495,24,0.508,0.022
8,800,1.495,32,0.459,0.026
8,800,1.495,-1,9.39,-1
